"subjectId","par1","par2","value","counts.function","counts.gradient","convergence"
"P1",0.362139491429374,0.884844757816764,77.9792470928474,14,6,0
"P2",6.666791306258,-0.339098458300743,123.668880623917,140,98,0
"P3",7.35236775829073,0.0154767641179559,113.361133086874,63,43,0
"P4",6.2517909403273,0.952269309774313,57.3860536926068,113,68,0
"P5",2.23879243549392,0.263973812289276,105.694481787132,26,16,0
"P6",-0.675191823254489,0.401352186138829,110.827694294332,24,9,0
"P7",1.85060433594824,0.94811655764922,62.2504294634806,20,11,0
"P8",-0.789535012247138,-0.0680757377745059,124.330329206624,29,9,0
"P9",0.77719085305939,0.487464640424198,98.9037704540696,12,6,0
"P10",9.53103240837072,0.53977197205438,89.4231618002901,22,7,0
"P11",8.63003570741509,0.347834207189897,99.3903197482673,62,38,0
"P12",8.72563204269744,0.291443976543105,105.036815176236,36,23,0
"P13",9.21698516152609,0.595127725245501,85.8957361715893,24,13,0
"P14",9.63439636342101,0.420339373591721,103.187373193023,21,13,0
"P15",6.47875221205671,0.156679631262165,107.903910102314,43,28,0
"P16",-2.73985605029736,-25.2116538341198,133.084258667511,2,2,0
"P17",1.27228683555111,0.156224151432834,110.44756228443,18,11,0
"P18",-1.15789205076539,-0.0561024875376172,125.968696879005,19,9,0
"P19",9.74354110106744,0.834052355783398,68.980224737059,12,6,0
"P20",8.03459544877937,0.78405507999273,74.7823656103809,87,53,0
"P21",1.67706186760341,0.33121229074684,102.905700400924,27,15,0
"P22",6.77694079814736,-0.366522838079543,123.740869890505,140,98,0
"P23",2.7828038651116,0.851660651267424,68.3428577229326,30,15,0
"P24",1.28205331166858,0.610173681761685,88.447368656381,21,9,0
"P25",1.05372666242581,0.681604322361594,84.1925434921855,22,10,0
"P26",9.11824332279844,0.936927708539114,61.103092358536,81,48,0
"P27",3.24427733141656,0.829113989276552,67.6689778507496,28,16,0
"P28",1.20122561405238,0.58717024408379,90.6292697357185,22,10,0
"P29",-6.35963323215094,-28.5454787120472,133.08425866751,2,2,0
"P30",0.332264085683385,0.332986818603033,107.4772946766,11,6,0
"P31",11.2545459604183,0.707845883145577,81.3133218706535,24,8,0
"P32",8.00344418197694,0.249100414339156,107.256376570579,28,18,0
