"Ex1","Ex2","Ex3","Ex4","Ex5","Ex6","Ex7","Ex8","Ex9","Ex10","Ex11","Ex12","Ex13","Ex14","Ex15","Ex16"
,2.301642498375,4.3427934473125,3.0762039160625,2.626497683125,3.798720169375,3.798902445375,3.596386436,,,,,,,,
2.32860119825,,3.193685883375,3.594556883625,3.8809910953125,5.0642359776875,2.9080949159375,2.76713766325,,,,,,,,
4.4052805760625,3.3971773316875,,2.3304731343125,3.2427278428125,4.7100989984375,3.52324207875,4.0025400840625,,,,,,,,
3.453298341375,3.61685131525,2.992735149,,4.7142469896875,4.2051151973125,3.262663463,4.02681178525,,,,,,,,
3.3083155666875,3.5692049549375,3.5253741186875,4.022777962375,,3.2840708165625,3.42461409725,4.0602733586875,,,,,,,,
3.92089211025,5.467432325125,5.84886243475,4.2551493295625,3.4100423385,,4.352930885375,3.30230780125,,,,,,,,
3.37470704825,2.676027405875,3.626359212,3.745305012875,3.625372646375,4.7274508410625,,3.401847094375,,,,,,,,
3.2692807256875,2.94101093825,3.7445016148125,3.8466995220625,4.4874240393125,4.0381076848125,,,,,,,,,,
,,,,,,,,,2.2797925808125,4.149213274375,4.3263903079375,4.4342342195,4.045726965375,2.2878528105625,3.1444026749375
,,,,,,,,2.0459333224375,,2.054109095,2.5264585834375,3.3721066160625,3.5276966813125,3.00004506,2.16344844375
,,,,,,,,4.40087987575,1.9530038105625,,3.452371694875,2.10300860125,4.4242707069375,4.994750896625,3.1567741425
,,,,,,,,4.162611035875,2.6185394545625,3.6013640164375,,2.8585980494375,4.3089273418125,2.8623194443125,4.5452300784375
,,,,,,,,3.984448016875,2.884261799875,1.866464422875,2.3716465715,,2.781884152625,2.1059701240625,2.54511338575
,,,,,,,,4.026809451375,4.233290976,3.9974828310625,4.1217573915,3.2028167545,,3.221799134375,3.1970198869375
,,,,,,,,2.3056859585625,3.1135336019375,4.9986348494375,2.5057099108125,2.2034553870625,2.9491023105,,2.3297776609375
,,,,,,,,3.0248941001875,1.9690891294375,3.172918312625,4.3730823050625,2.442989211125,3.3362239754375,,
